6.491268934472326180e+01,8.682787821364138514e-01
4.737037676503179995e+01,8.379197206850524937e-01
3.425050053105394454e+01,7.985037086934855255e-01
2.459276123568003669e+01,7.459093290306462176e-01
1.761351020759318686e+01,6.759473803612692233e-01
1.268642156030374224e+01,5.832565289618214521e-01
9.324841627704213209e+00,4.658886440011094088e-01
7.167328270837765913e+00,3.305295681206030234e-01
5.966877765671630307e+00,2.000557466823413844e-01
5.581908500287227959e+00,1.034992005930128328e-01
